Sentence 1;Sentence 2;Similarity Score;Lexical Diversity
The Commission shall also ensure the implementation of training and technical assistance and cooperation actions for the benefit of:(a) the candidate countries to enable them to comply with Community customs legislation.;The Commission may provide support to any network of local authorities as defined in Article 1 or, in the case of the accompanying measures mentioned in part C of the Annex, to other beneficiaries who wish to develop such activities.3.;0.7220885753631592;0.9736842105263158
Each Party shall endeavour to ensure that officials and authorities assist and provide guidance to the public in seeking access to information, in facilitating participation in decision-making and in seeking access to justice in environmental matters.;As part of these consultations, the Parties may be assisted, where necessary, by experts or industry representatives.;0.7299901843070984;1.0
16 Order are modified under articles 3(2)(b) or 4(2)(c).;9 Order, in the cases to which articles 10 to 14 of this Order apply, is a reference to articles 9, 11 13, 15, 18 and 22 of the No.;0.7308545708656311;0.9
Products originating within the meaning of this Annex in an OCTs shall benefit, on release for free circulation in the Union, from the tariff preferences only on condition that they were exported on or after the date specified in the list referred to in paragraph 1.;In the case of the duty-free replacement of goods procedure, the subject of the present Annex, the  technique employed is to grant exemption from import duties and taxes for goods equivalent to those  which were in free circulation and were processed into products exported from the Customs  territory.;0.701556921005249;0.875
(6)  Texts adopted, P7_TA(2012)0164 (see page 388 of this Official Journal).;(8)  Texts adopted, P7_TA(2013)0134 (see page 374 of this Official Journal).;0.9444299936294556;0.5333333333333333
The first column gives the heading number or chapter number used in the harmonized system and the second column gives the description of goods used in that system for that heading or  chapter.;Column 1 gives the chapter number, 4-digit heading or 6-digit sub-heading number used in the Harmonised System, as appropriate.;0.7239788770675659;0.6111111111111112
"The opinion shall be recorded in the minutes; in addition, each Member State shall have the right  to ask to have its position recorded in the minutes.";The views expressed by the representatives of the Member States shall be included in the minutes.;0.7588509321212769;0.8
They shall also enforce such protection at the request of an interested party.;It shall be covered by the obligation of official secrecy and shall enjoy the protection extended to similar information under the relevant laws of the Party which received it and the corresponding provisions applying to the Community institutions.;0.7047661542892456;0.8695652173913043
ARTICLE 11  THE COMMITTEE SHALL DISCUSS MATTERS ON WHICH THE COMMISSION HAS REQUESTED AN OPINION .;A Contracting Party may ask the Joint Committee to hold consultations about the proportionality of these measures and, where appropriate, decide to submit a dispute on the matter to arbitration in accordance with the procedure laid down in Annex III.;0.7105509042739868;0.9655172413793104
All other financial resources under this Decision shall be administered by the Commission.;The Commission shall be responsible for taking the annual financing decision on the overall allocation corresponding to the PDSD, in accordance with the procedure referred to in Article 10.;0.7233449816703796;0.8421052631578947
2) Regulations 2007 and shall come into force on 21st December 2007.;10: Modification of subsisting rights is 24th January 2007.;0.7001974582672119;0.9285714285714286
The Committee shall meet at least twice a year.3.;Meetings of the Coordination Team shall take place at least three times in each calendar year.;0.7264189124107361;0.8666666666666667
Date of UN designation: 26.2.2011.;Date of UN designation: 3.3.2008 (EU: 24.4.2007).;0.8151736259460449;0.5714285714285714
In the context of the association, the OCTs shall cooperate with the Union as regards combatting money laundering and the financing of terrorism in accordance with Articles 70 and 71.;Where it is appropriate to do so, or at the request of the OCTs concerned, the Union and the OCTs may make efforts to promote greater alignment of OCTs legislation with Union Legislation on financial services.;0.7087462544441223;0.9285714285714286
Any amendment to the combined nomenclature made in accordance with the procedures in force in the Community concerning the products covered by this Agreement or any decision relating to the classification of goods shall not have the effect of reducing the quantitative limits set out in Annex II.;The definitions set forth in this Article, being limited to the application of this Convention, shall not be deemed to affect definitions established under domestic laws or regulations of Contracting Parties.;0.7073715329170227;0.9473684210526316
The Merseyside Waste Disposal Authority.;The List of Wastes (England) Regulations 2005 S.I.;0.7228929400444031;1.0
TITLE I  TRADE COOPERATION  CHAPTER 1  TRADE ARRANGEMENTS  ARTICLE 2  1 .;Chapter 3  Trade in services   Article 113   1.;0.7155874371528625;0.6363636363636364
the Commission shall be assisted by a committee.2.;The Consultative Committee will consider the necessary arrangements to this effect.;0.7641083598136902;1.0
(2)  Commission Decision (EU) 2015/1352 of 30 July 2015 on the payment in euro by the United Kingdom of certain expenditure resulting from sectoral agricultural legislation (OJ L 208, 5.8.2015, p. 33).;(3)  FR – Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1).;0.7360593676567078;0.9318181818181819
The Commission shall periodically submit a report to the STIDC on the measures taken and the results obtained.;The Commission shall prepare annual progress reports on the basis of the information provided and shall send them to the Member States and the European Parliament.;0.7502748966217041;0.9090909090909091
