Sentence 1;Sentence 2;Similarity Score;Lexical Diversity
This is so even if the date of acknowledgement is a non-business day within the meaning of section 92 of the Bills of Exchange Act 1882 .;Amendments to this Convention shall enter into force ninety (90) days after all Parties to the Convention at the time the amendments were approved have deposited their instruments of ratification, acceptance, or approval of such amendments with the Depositary.;0.5007817149162292;1.0
(25) OJ L 281, 4.11.1999, p.;(7)  OJ C 284 E, 21.11.2002, p. 19.;0.8993678092956543;0.9230769230769231
Signed by authority of the Secretary of State for Work and Pensions.;THE CHAIRMAN OF THE ADMINISTRATIVE COMMISSION  A .;0.646746814250946;1.0
Documents shall be made available for reuse without application unless otherwise specified and without restrictions or, where appropriate, an open licence or disclaimer setting out conditions explaining the rights of reusers.;Article 184 of the Implementing Regulation Goods covered by a summary declaration which have not been unloaded and have not yet been assigned a customs-approved treatment or use must be re-presented intact whenever the Customs so require.;0.5751150250434875;1.0
(8) OJ C 321, 22.;(36)  OJ L 312, 29.11.2005, p. 67.;0.8254929780960083;0.9090909090909091
The Joint Committee is responsible for the follow-up of the implementation of the multi-annual sectoral support programme.;The Commission shall be assisted by a Committee.2.;0.6144169569015503;1.0
9, 11, 13, 14, 16 and 17 and Transitional and Transitory Provisions (Amendment) (No.;2) Regulations 2010 as that paragraph is modified by paragraph 21(10) of Schedule 4 to the Welfare Reform Act 2012 (Commencement No.;0.7246813178062439;1.0
Place of birth: Kandahar province, Afghanistan.;Other information: Believed to be in the Afghanistan/Pakistan border area.;0.5779241323471069;1.0
(2) The Agreement was initialled on 15 February 2003.;3) Order 2015 and comes into force on 6th November 2015.;0.6331487894058228;1.0
The worsening situation obliged the Greek producer to close down his main furnace at the end of 1983.;Therefore, the Bank of Greece decided to withdraw their licenses and put them into liquidation.;0.5795047283172607;1.0
The additional measures implemented by Latvia for Parex banka, Citadele and Reverta.;(13)  See for example the Commission’s Decisions in cases N 92/2008 (Austria, Restructuring aid for Der Bäcker Legat) and N 289/2007 (Italy, Restructuring aid to Fiem SRL).;0.5792061686515808;1.0
