Sentence 1;Sentence 2;Similarity Score;Lexical Diversity
Where the application of the Protocol is suspended for reasons other than those given in paragraph 1(c) above, it shall require the Party concerned to notify its intention in writing at least three months before the date on which suspension is due to take effect.;Therefore, provisions should be put in place whereby the Commission can suspend part of the monthly or interim payments for which the relevant statistical information has not been sent in time.;0.6439085006713867;1.0
To the extent necessary, the integrated system shall also apply to the control of cross-compliance as laid down in Title VI.;Support is required to upgrade systems to ensure verification of compliance with the legality definition referred to in Annex II, by means of the procedures outlined in that Annex.;0.6160480380058289;1.0
(38)  Any step(s) of research of such kind will have to be excluded from the research activities that will be supported by Union funds in line with the Commission’s declaration of 24 July 2006.;(30) As objections to this course of action were raised in the Advisory Committee by one Member State, the investigation was not terminated by the Commission with respect to the companies in question but a proposal is being submitted to that effect by the Commission to the Council.;0.6335055828094482;0.9714285714285714
Cases requiring national consultation are listed in Annex 5A.2.2.;Specific arrangements for hearings will be described in the Guide for Applicants.;0.6214662194252014;1.0
The IMCC will then review the report and submit its recommendations to the President for final decision.;The manual proposed by the independent auditor will be reviewed and agreed by the JIC.;0.6331249475479126;1.0
of tariff quotas and ceilings.;excluding freight costs in the Union and after deduction of discounts and rebates.;0.6148792505264282;1.0
However, the period of low remuneration was limited to one year for measure B1 and five months for measure B2 (that is to say, until the conversion of the bridge recapitalisation into a standard recapitalisation in ordinary shares, namely measure B3).;By means of the Bank's share capital increase, the first and second bridge recapitalisations (measures B1 and B2) were partially converted into a permanent recapitalisation.;0.6380155682563782;0.8823529411764706
Regard must also be had in this case to the compass of the Contracts, their content or the conditions which they contain.;THE CONTRACTUAL LIABILITY OF THE JOINT UNDERTAKING SHALL BE GOVERNED BY THE RELEVANT CONTRACTUAL PROVISIONS AND BY THE LAW APPLICABLE TO THE CONTRACT IN QUESTION .;0.7255953550338745;1.0
If during the Presidency any of the meetings in the six-monthly programme proves to be no longer warranted, the Presidency shall not convene it.3.;If, within six weeks after the date of the inaugural meeting, no two-thirds majority is found, the Commission shall assume the  Chairmanship for the duration of the Group's term of office.;0.619583010673523;0.962962962962963
Unbound for natural persons and associations.;(28)  Additional commitment: in IT, professional association (no incorporation) among natural persons is permitted.;0.6073558330535889;0.8333333333333334
Grounds for listing: Governor of Zabol Province (Afghanistan) under the Taliban regime.;Other information: (a) Member of the Taliban’s leadership as of May 2007, (b) Believed to be in the Afghanistan/Pakistan border area, (c) Member of the Taliban Council of Peshawar.;0.62090003490448;0.9545454545454546
The Agency may, in addition to its work programme, after consultation of its Members and, in case of disagreement, after approval by the Assembly, carry out projects initiated and financed by Members subject to the availability of non-financial resources of the Agency.;"Also asks the Administrative Board to enhance project evaluation procedures along the lines recommended by the Court of Auditors, in particular with respect to considerations of value for money for each project;5.";0.6681796908378601;1.0
EIB financing operations shall be consistent with the regional technical operational guidelines and the strategies of the beneficiary country.;The EIB should cooperate with local financial intermediary institutions in the eligible countries, which should be integrated into the local economy, in particular to ensure that part of the financial benefits is passed on to their clients and that added value is provided compared to other sources of finance.;0.6772003173828125;0.9696969696969697
